target,height_cm,trial,u_gt,v_gt,u_mean,v_mean,u_std,v_std,n_samples,error_mm,latency_mean_ms,latency_std_ms
1,0,1,0.1,0.167,0.1039,0.161,0.0006,0.0007,24,4.9,38.0,6.1
1,0,2,0.1,0.167,0.1064,0.1546,0.0019,0.0058,24,9.2,35.8,5.1
1,0,3,0.1,0.167,0.1059,0.155,0.0001,0.001,23,8.8,35.9,5.4
1,0,4,0.1,0.167,0.1058,0.1511,0.0001,0.0015,25,10.7,35.4,5.3
1,0,5,0.1,0.167,0.1088,0.1539,0.0003,0.0004,27,10.9,34.7,5.9
2,0,1,0.3,0.5,0.312,0.5568,0.0004,0.0018,24,35.6,39.4,12.8
2,0,2,0.3,0.5,0.3124,0.563,0.0001,0.0022,26,39.2,35.3,6.0
2,0,3,0.3,0.5,0.3123,0.5633,0.0003,0.0018,26,39.4,34.9,6.5
2,0,4,0.3,0.5,0.3065,0.5859,0.002,0.0053,21,51.8,38.1,5.8
2,0,5,0.3,0.5,0.2979,0.5653,0.0007,0.0011,26,39.2,34.5,5.0
3,0,1,0.5,0.833,0.5169,0.9443,0.0002,0.0012,25,68.3,35.9,4.9
3,0,2,0.5,0.833,0.5176,0.9422,0.0013,0.0103,22,67.2,40.5,7.7
3,0,3,0.5,0.833,0.512,0.9348,0.0007,0.0114,24,61.9,34.6,5.5
3,0,4,0.5,0.833,0.5151,0.9314,0.0007,0.0093,25,60.4,35.3,3.8
3,0,5,0.5,0.833,0.5189,0.926,0.0007,0.0082,24,58.1,37.7,6.2
4,0,1,0.7,0.167,0.729,0.2482,0.0008,0.0026,27,54.6,33.5,5.8
4,0,2,0.7,0.167,0.7217,0.228,0.0004,0.003,26,41.0,36.9,7.4
4,0,3,0.7,0.167,0.7251,0.229,0.0003,0.0027,22,42.9,37.4,5.2
4,0,4,0.7,0.167,0.7221,0.2419,0.0028,0.0045,25,48.7,36.3,5.3
4,0,5,0.7,0.167,0.7296,0.2482,0.0011,0.0025,28,54.8,33.9,3.2
5,0,1,0.9,0.833,0.7058,0.382,0.0,0.0,1,316.9,50.6,0.0
5,0,2,0.9,0.833,0.9254,0.9968,0.0008,0.0007,25,100.6,35.7,6.0
5,0,3,0.9,0.833,0.9243,0.9892,0.0001,0.001,19,96.0,36.9,5.8
5,0,4,0.9,0.833,0.9235,0.9943,0.0002,0.0012,22,98.8,38.6,6.1
5,0,5,0.9,0.833,0.9227,0.9862,0.0003,0.0012,26,93.9,35.0,4.8
1,25,1,0.1,0.167,0.1769,0.069,0.0098,0.0147,25,87.9,34.8,6.4
1,25,2,0.1,0.167,0.2028,0.0585,0.0033,0.0177,20,109.0,33.9,5.3
1,25,3,0.1,0.167,0.1381,0.0203,0.0012,0.0073,16,93.8,36.1,9.0
1,25,4,0.1,0.167,0.1164,0.0225,0.0015,0.0057,22,87.8,35.3,6.0
1,25,5,0.1,0.167,0.0821,0.0939,0.0062,0.0104,24,46.4,36.8,5.6
2,25,1,0.3,0.5,0.1788,0.6358,0.0093,0.0112,24,131.3,37.8,5.5
2,25,2,0.3,0.5,0.2355,0.5026,0.0083,0.0954,22,54.8,39.0,7.1
2,25,3,0.3,0.5,0.2187,0.7326,0.0065,0.0212,24,155.7,36.0,6.8
2,25,4,0.3,0.5,0.2297,0.65,0.0032,0.0112,27,108.0,34.0,4.6
2,25,5,0.3,0.5,0.2452,0.6769,0.002,0.013,24,115.9,36.0,6.4
3,25,1,0.5,0.833,0.4883,0.8667,0.0045,0.0113,25,22.5,34.7,5.6
3,25,2,0.5,0.833,0.4868,0.9351,0.0055,0.0279,20,62.3,35.5,6.1
3,25,3,0.5,0.833,0.4838,0.8743,0.0071,0.0491,24,28.3,36.3,7.4
3,25,4,0.5,0.833,0.4551,0.9233,0.0042,0.0242,26,66.3,34.9,5.1
3,25,5,0.5,0.833,0.4607,0.9096,0.0025,0.0442,21,56.8,38.5,6.0
4,25,1,0.7,0.167,0.6962,0.2216,0.007,0.0385,20,32.9,39.3,6.5
4,25,2,0.7,0.167,0.6975,0.2251,0.0045,0.0615,23,34.9,38.0,7.4
4,25,3,0.7,0.167,0.6868,0.3698,0.0057,0.0152,23,122.2,38.4,7.8
4,25,4,0.7,0.167,0.6694,0.2987,0.0032,0.0284,24,83.2,36.3,6.2
4,25,5,0.7,0.167,0.677,0.1137,0.0024,0.0069,26,37.5,35.6,6.5
5,25,1,0.9,0.833,0.8623,0.9743,0.0031,0.007,15,90.6,38.2,8.0
5,25,2,0.9,0.833,0.9195,0.9021,0.0094,0.0155,17,44.7,38.7,11.4
