source,trial,sq_x,sq_y,point_x_cm,point_y_cm,t_start,t_end,dwell_s,arrived,arrived_during_dwell,latency_s,after_dwell_s,robot_x_cm,robot_y_cm,deduped_from,arrival_error_cm,robot_position_error_cm
trial_01__2026-05-09-00-23-34,1,50.0,50.0,50.5,53.6,1778279019.402,1778279019.91,0.507,1,0,3.402,2.894,46.4,45.8,,5.532,5.532
trial_01__2026-05-09-00-23-34,2,40.0,40.0,40.5,42.2,1778279019.963,1778279020.66,0.697,1,0,1.999,1.302,40.7,35.1,,4.950,4.950
trial_01__2026-05-09-00-23-34,3,70.0,30.0,71.6,25.7,1778279021.136,1778279021.737,0.601,1,0,8.739,8.138,65.3,27.4,,5.371,5.371
trial_01__2026-05-09-00-23-34,4,70.0,10.0,71.8,8.2,1778279022.17,1778279023.004,0.833,0,0,,,48.6,48.7,,,44.223
trial_01__2026-05-09-00-23-34,5,60.0,30.0,58.5,27.5,1778279025.136,1778279026.471,1.334,1,0,3.906,2.572,55.3,28.2,,5.033,5.033
trial_01__2026-05-09-00-23-34,6,60.0,20.0,55.9,23.2,1778279026.471,1778279040.764,14.294,1,1,12.305,0.0,59.4,24.9,,4.937,4.937
trial_02__2026-05-09-00-24-16,1,40.0,10.0,40.5,12.9,1778279088.623,1778279089.467,0.844,1,0,8.532,7.687,41.5,14.9,,5.124,5.124
trial_02__2026-05-09-00-24-16,2,30.0,20.0,33.5,20.5,1778279090.355,1778279090.869,0.514,1,0,11.583,11.069,34.2,24.9,,6.454,6.454
trial_02__2026-05-09-00-24-16,3,30.0,20.0,31.0,17.9,1778279091.735,1778279092.331,0.596,1,0,10.203,9.608,34.2,24.9,,6.454,6.454
trial_02__2026-05-09-00-24-16,4,20.0,10.0,18.7,14.5,1778279092.452,1778279108.334,15.881,1,1,11.634,0.0,24.7,9.9,,4.701,4.701
exp_2026-05-09-01-15-21,1,30.0,20.0,25.8,19.0,1778282160.855,1778282161.51,0.656,1,0,3.356,2.7,34.8,24.4,,6.512,6.512
exp_2026-05-09-01-15-21,2,20.0,20.0,22.3,21.6,1778282161.51,1778282162.089,0.578,1,0,3.397,2.819,24.9,20.7,,4.950,4.950
exp_2026-05-09-01-15-21,3,20.0,30.0,22.0,29.7,1778282162.089,1778282163.403,1.315,1,0,5.282,3.967,24.2,34.9,,6.454,6.454
exp_2026-05-09-01-15-21,4,30.0,30.0,31.1,28.4,1778282163.403,1778282164.868,1.464,1,0,4.116,2.651,25.2,33.0,,5.660,5.660
exp_2026-05-09-01-15-21,5,30.0,20.0,30.4,24.6,1778282164.868,1778282180.906,16.039,1,1,0.023,0.0,26.1,20.8,,3.981,3.981
trial_01_2026-05-09-01-16-14,1,40.0,20.0,36.6,22.3,1778282180.907,1778282181.894,0.987,1,0,1.161,0.174,35.1,20.9,exp_2026-05-09-01-15-21#6;trial_01_2026-05-09-01-16-14#1,4.982,4.982
trial_01_2026-05-09-01-16-14,2,40.0,30.0,40.6,27.9,1778282181.894,1778282183.131,1.237,1,1,0.943,0.0,41.4,25.5,trial_01_2026-05-09-01-16-14#2;exp_2026-05-09-01-15-21#7,4.713,4.713
