trial,sq_x,sq_y,point_x_cm,point_y_cm,t_start,t_end,dwell_s,arrived,arrived_during_dwell,latency_s,after_dwell_s,robot_x_cm,robot_y_cm
1,30.0,20.0,25.8,19.0,1778282160.855,1778282161.51,0.656,1,0,3.356,2.7,34.8,24.4
2,20.0,20.0,22.3,21.6,1778282161.51,1778282162.089,0.578,1,0,3.397,2.819,24.9,20.7
3,20.0,30.0,22.0,29.7,1778282162.089,1778282163.403,1.315,1,0,5.282,3.967,24.2,34.9
4,30.0,30.0,31.1,28.4,1778282163.403,1778282164.868,1.464,1,0,4.116,2.651,25.2,33.0
5,30.0,20.0,30.4,24.6,1778282164.868,1778282180.906,16.039,1,1,0.023,0.0,26.1,20.8
6,40.0,20.0,36.6,22.3,1778282180.906,1778282181.895,0.989,1,0,1.16,0.171,35.1,20.9
7,40.0,30.0,40.6,27.9,1778282181.895,1778282183.131,1.235,1,1,0.941,0.0,41.4,25.5
8,70.0,30.0,70.3,29.9,1778282184.021,1778282185.752,1.732,1,0,13.904,12.172,69.2,34.7
9,60.0,20.0,60.3,21.9,1778282185.752,1778282186.332,0.579,1,0,4.538,3.958,64.6,22.7
10,50.0,20.0,50.0,17.9,1778282186.332,1778282186.846,0.515,1,1,0.002,0.0,48.9,25.0
11,40.0,20.0,40.0,15.9,1778282186.846,1778282187.442,0.596,1,0,4.708,4.112,44.4,15.7
12,20.0,20.0,21.5,21.0,1778282187.95,1778282188.803,0.852,1,0,5.261,4.408,21.9,15.2
13,20.0,30.0,20.4,25.8,1778282188.803,1778282189.673,0.87,1,0,5.038,4.168,19.0,25.2
14,40.0,40.0,39.3,44.9,1778282189.781,1778282190.356,0.575,1,0,38.352,37.777,44.9,35.4
15,50.0,50.0,50.8,45.8,1778282190.37,1778282190.918,0.548,1,0,5.806,5.259,45.1,48.7
16,60.0,40.0,61.7,39.4,1778282191.311,1778282192.312,1.001,1,0,5.531,4.531,55.5,45.0
17,40.0,30.0,38.3,28.8,1778282193.69,1778282195.025,1.336,1,0,6.306,4.97,44.9,33.5
18,50.0,30.0,50.3,30.2,1778282195.025,1778282195.711,0.685,1,0,4.175,3.49,54.7,25.3
19,60.0,30.0,59.6,27.5,1778282195.711,1778282196.41,0.699,1,0,10.966,10.267,55.4,29.2
20,70.0,20.0,67.4,20.0,1778282196.427,1778282197.954,1.527,1,0,10.928,9.401,65.1,24.4
21,60.0,10.0,59.9,0.2,1778282197.954,1778282224.526,26.572,0,0,,,53.2,5.9
22,30.0,50.0,33.4,50.9,1778282224.961,1778282225.668,0.707,1,0,5.651,4.944,30.7,54.8
23,30.0,40.0,32.5,39.5,1778282225.668,1778282226.729,1.062,1,0,5.646,4.584,30.1,44.4
24,40.0,40.0,39.3,36.7,1778282226.729,1778282227.48,0.751,1,0,1.403,0.652,44.9,35.4
25,50.0,40.0,50.1,39.8,1778282227.48,1778282228.064,0.584,1,0,6.046,5.462,45.7,35.1
26,60.0,40.0,62.0,38.7,1778282228.064,1778282228.939,0.874,1,0,7.215,6.341,62.8,45.0
27,60.0,30.0,61.3,33.2,1778282228.939,1778282229.581,0.642,1,0,7.512,6.87,64.9,31.2
28,50.0,30.0,49.8,29.0,1778282229.581,1778282230.183,0.602,1,0,3.607,3.004,45.1,31.1
29,30.0,20.0,30.0,23.6,1778282230.794,1778282231.38,0.586,1,0,8.491,7.905,31.9,24.8
30,20.0,30.0,20.6,29.5,1778282231.512,1778282232.538,1.026,1,0,9.123,8.097,16.7,25.1
31,60.0,30.0,58.5,33.6,1778282234.318,1778282234.913,0.596,1,0,2.133,1.537,64.9,31.2
32,50.0,30.0,51.0,32.3,1778282234.913,1778282235.429,0.516,1,0,2.878,2.362,49.5,25.0
33,40.0,30.0,39.8,32.0,1778282235.429,1778282236.021,0.591,1,0,2.816,2.225,44.9,28.9
34,20.0,30.0,19.0,31.7,1778282236.501,1778282237.033,0.531,1,0,4.133,3.602,16.7,25.1
35,10.0,30.0,12.4,31.6,1778282237.033,1778282237.89,0.857,1,0,12.097,11.241,14.6,32.8
36,20.0,50.0,21.3,47.7,1778282238.548,1778282239.169,0.622,1,0,12.898,12.276,15.4,46.1
37,30.0,50.0,29.7,50.6,1778282239.169,1778282239.736,0.566,1,0,13.008,12.441,25.3,52.0
38,70.0,40.0,73.9,39.8,1778282241.096,1778282241.818,0.722,1,0,13.626,12.904,65.0,44.0
39,60.0,30.0,60.9,27.5,1778282242.271,1778282242.979,0.708,1,0,2.124,1.416,55.3,34.5
40,50.0,20.0,51.2,20.4,1778282243.267,1778282244.117,0.85,1,0,15.067,14.217,54.7,22.7
41,20.0,20.0,19.7,18.1,1778282244.771,1778282245.336,0.565,1,0,15.666,15.101,24.7,17.2
42,10.0,20.0,9.6,18.6,1778282245.336,1778282272.494,27.158,1,1,15.702,0.0,14.6,23.0
43,60.0,50.0,61.4,59.1,1778282272.494,1778282273.613,1.119,0,0,,,3.7,13.9
