Bag       : /home/mariam-machaidze/Desktop/thesis/bags/thesis_final/exp_2026-05-09-01-15-21.bag
Trials    : 43
Metric    : eventual arrival inside the requested 10x10 cm square
Arrived   : 41/43 = 95.3%
During dwell: 4/43 = 9.3%
Min dwell : 0.5s
Latency   : 7.33 ± 6.62 s  (min 0.00, max 38.35)

trial,sq_x,sq_y,arrived,arrived_during_dwell,latency_s,after_dwell_s,robot_x_cm,robot_y_cm
1,30.0,20.0,1,0,3.356,2.7,34.8,24.4
2,20.0,20.0,1,0,3.397,2.819,24.9,20.7
3,20.0,30.0,1,0,5.282,3.967,24.2,34.9
4,30.0,30.0,1,0,4.116,2.651,25.2,33.0
5,30.0,20.0,1,1,0.023,0.0,26.1,20.8
6,40.0,20.0,1,0,1.16,0.171,35.1,20.9
7,40.0,30.0,1,1,0.941,0.0,41.4,25.5
8,70.0,30.0,1,0,13.904,12.172,69.2,34.7
9,60.0,20.0,1,0,4.538,3.958,64.6,22.7
10,50.0,20.0,1,1,0.002,0.0,48.9,25.0
11,40.0,20.0,1,0,4.708,4.112,44.4,15.7
12,20.0,20.0,1,0,5.261,4.408,21.9,15.2
13,20.0,30.0,1,0,5.038,4.168,19.0,25.2
14,40.0,40.0,1,0,38.352,37.777,44.9,35.4
15,50.0,50.0,1,0,5.806,5.259,45.1,48.7
16,60.0,40.0,1,0,5.531,4.531,55.5,45.0
17,40.0,30.0,1,0,6.306,4.97,44.9,33.5
18,50.0,30.0,1,0,4.175,3.49,54.7,25.3
19,60.0,30.0,1,0,10.966,10.267,55.4,29.2
20,70.0,20.0,1,0,10.928,9.401,65.1,24.4
21,60.0,10.0,0,0,,,53.2,5.9
22,30.0,50.0,1,0,5.651,4.944,30.7,54.8
23,30.0,40.0,1,0,5.646,4.584,30.1,44.4
24,40.0,40.0,1,0,1.403,0.652,44.9,35.4
25,50.0,40.0,1,0,6.046,5.462,45.7,35.1
26,60.0,40.0,1,0,7.215,6.341,62.8,45.0
27,60.0,30.0,1,0,7.512,6.87,64.9,31.2
28,50.0,30.0,1,0,3.607,3.004,45.1,31.1
29,30.0,20.0,1,0,8.491,7.905,31.9,24.8
30,20.0,30.0,1,0,9.123,8.097,16.7,25.1
31,60.0,30.0,1,0,2.133,1.537,64.9,31.2
32,50.0,30.0,1,0,2.878,2.362,49.5,25.0
33,40.0,30.0,1,0,2.816,2.225,44.9,28.9
34,20.0,30.0,1,0,4.133,3.602,16.7,25.1
35,10.0,30.0,1,0,12.097,11.241,14.6,32.8
36,20.0,50.0,1,0,12.898,12.276,15.4,46.1
37,30.0,50.0,1,0,13.008,12.441,25.3,52.0
38,70.0,40.0,1,0,13.626,12.904,65.0,44.0
39,60.0,30.0,1,0,2.124,1.416,55.3,34.5
40,50.0,20.0,1,0,15.067,14.217,54.7,22.7
41,20.0,20.0,1,0,15.666,15.101,24.7,17.2
42,10.0,20.0,1,1,15.702,0.0,14.6,23.0
43,60.0,50.0,0,0,,,3.7,13.9
