Spatial accuracy / error summary for thesis_final
Definition: arrival_error_cm = Euclidean distance from target square center to robot position at first arrival. Computed only for arrived trials.
For missed trials, robot_position_error_cm in the CSV is distance from target center to the last robot position available in that trial window; it is not an arrival accuracy metric.

Arrived trials with arrival error: 50
Arrival spatial error          : 5.48 +/- 0.69 cm (median 5.25, min 3.98, max 6.73)
All rows robot-position error  : 7.81 +/- 10.19 cm (median 5.38, min 3.98, max 66.88)

Per-square arrival spatial error:
x_cm,y_cm,arrived_trials,mean_error_cm,std_error_cm,median_error_cm,min_error_cm,max_error_cm
10,50,0,,,,,
20,50,1,6.03,0.00,6.03,6.03,6.03
30,50,2,4.98,0.13,4.98,4.85,5.11
40,50,0,,,,,
50,50,2,5.30,0.23,5.30,5.07,5.53
60,50,0,,,,,
70,50,0,,,,,
10,40,0,,,,,
20,40,0,,,,,
30,40,1,4.40,0.00,4.40,4.40,4.40
40,40,2,5.84,0.89,5.84,4.95,6.72
50,40,1,6.52,0.00,6.52,6.52,6.52
60,40,2,6.23,0.50,6.23,5.73,6.73
70,40,1,6.40,0.00,6.40,6.40,6.40
10,30,1,5.38,0.00,5.38,5.38,5.38
20,30,4,5.79,0.56,5.91,4.90,6.45
30,30,1,5.66,0.00,5.66,5.66,5.66
40,30,3,5.25,0.56,5.02,4.71,6.02
50,30,3,5.56,0.77,5.03,5.02,6.65
60,30,6,5.20,0.60,5.04,4.67,6.51
70,30,2,5.07,0.30,5.07,4.77,5.37
10,20,1,5.49,0.00,5.49,5.49,5.49
20,20,3,5.19,0.21,5.16,4.95,5.47
30,20,5,5.71,1.00,6.45,3.98,6.51
40,20,2,5.57,0.58,5.57,4.98,6.15
50,20,2,5.27,0.15,5.27,5.12,5.42
60,20,2,5.14,0.20,5.14,4.94,5.33
70,20,1,6.59,0.00,6.59,6.59,6.59
10,10,0,,,,,
20,10,1,4.70,0.00,4.70,4.70,4.70
30,10,0,,,,,
40,10,1,5.12,0.00,5.12,5.12,5.12
50,10,0,,,,,
60,10,0,,,,,
70,10,0,,,,,
