trial,sq_x,sq_y,point_x_cm,point_y_cm,t_start,t_end,dwell_s,arrived,arrived_during_dwell,latency_s,after_dwell_s,robot_x_cm,robot_y_cm
1,40.0,20.0,36.6,22.3,1778282180.907,1778282181.894,0.987,1,0,1.161,0.174,35.1,20.9
2,40.0,30.0,40.6,27.9,1778282181.894,1778282183.131,1.237,1,1,0.943,0.0,41.4,25.5
3,60.0,30.0,60.4,31.9,1778282183.519,1778282184.021,0.502,1,0,3.687,3.185,55.2,31.0
4,70.0,30.0,70.3,29.9,1778282184.021,1778282185.753,1.732,1,0,13.903,12.172,69.2,34.7
5,60.0,20.0,60.3,21.9,1778282185.753,1778282186.332,0.579,1,0,4.544,3.965,64.6,22.7
6,50.0,20.0,50.0,17.9,1778282186.332,1778282186.848,0.517,1,1,0.0,0.0,48.9,25.0
7,40.0,20.0,40.0,15.9,1778282186.848,1778282187.445,0.596,1,0,4.708,4.111,44.4,15.7
8,20.0,20.0,21.5,21.0,1778282187.952,1778282188.802,0.85,1,0,5.259,4.409,21.9,15.2
9,20.0,30.0,20.4,25.8,1778282188.802,1778282189.668,0.866,1,0,5.037,4.172,19.0,25.2
10,40.0,40.0,39.3,44.9,1778282189.782,1778282190.359,0.577,0,0,,,64.6,22.7
11,50.0,50.0,50.8,45.8,1778282190.37,1778282190.918,0.548,1,0,5.805,5.257,45.1,48.7
12,60.0,40.0,61.7,39.4,1778282191.312,1778282192.308,0.996,1,0,5.53,4.534,55.5,45.0
13,40.0,30.0,38.3,28.8,1778282193.69,1778282195.015,1.325,1,0,6.306,4.981,44.9,33.5
14,50.0,30.0,50.3,30.2,1778282195.015,1778282195.711,0.696,1,0,4.183,3.487,54.7,25.3
15,60.0,30.0,59.6,27.5,1778282195.711,1778282196.412,0.701,1,0,10.967,10.265,55.4,29.2
16,70.0,20.0,67.4,20.0,1778282196.43,1778282197.947,1.517,1,0,10.923,9.407,65.1,24.4
17,60.0,10.0,59.9,0.2,1778282197.947,1778282210.062,12.116,0,0,,,56.9,4.2
