Bag       : /home/mariam-machaidze/Desktop/thesis/bags/thesis_final/trial_02_2026-05-09-01-16-57.bag
Trials    : 21
Metric    : eventual arrival inside the requested 10x10 cm square
Arrived   : 21/21 = 100.0%
During dwell: 1/21 = 4.8%
Min dwell : 0.5s
Latency   : 7.94 ± 4.79 s  (min 1.40, max 15.71)

trial,sq_x,sq_y,arrived,arrived_during_dwell,latency_s,after_dwell_s,robot_x_cm,robot_y_cm
1,30.0,50.0,1,0,5.652,4.946,30.7,54.8
2,30.0,40.0,1,0,5.648,4.584,30.1,44.4
3,40.0,40.0,1,0,1.4,0.649,44.9,35.4
4,50.0,40.0,1,0,6.045,5.461,45.7,35.1
5,60.0,40.0,1,0,7.214,6.341,62.8,45.0
6,60.0,30.0,1,0,7.506,6.865,64.9,31.2
7,50.0,30.0,1,0,3.609,3.006,45.1,31.1
8,30.0,20.0,1,0,8.492,7.906,31.9,24.8
9,20.0,30.0,1,0,9.119,8.099,16.7,25.1
10,60.0,30.0,1,0,2.13,1.529,64.9,31.2
11,50.0,30.0,1,0,2.876,2.362,49.5,25.0
12,40.0,30.0,1,0,2.816,2.224,44.9,28.9
13,20.0,30.0,1,0,4.126,3.597,16.7,25.1
14,10.0,30.0,1,0,12.098,11.242,14.6,32.8
15,20.0,50.0,1,0,12.9,12.275,15.4,46.1
16,30.0,50.0,1,0,13.008,12.441,25.3,52.0
17,70.0,40.0,1,0,13.625,12.891,65.0,44.0
18,60.0,30.0,1,0,2.12,1.415,55.3,34.5
19,50.0,20.0,1,0,15.071,14.213,54.7,22.7
20,20.0,20.0,1,0,15.661,15.095,24.7,17.2
21,10.0,20.0,1,1,15.705,0.0,14.6,23.0
