target,height_cm,trial,u_gt,v_gt,u_mean,v_mean,u_std,v_std,n_samples,error_mm,latency_mean_ms,latency_std_ms
1,10,1,0.206,0.222,0.1912,0.1514,0.0015,0.0108,183,44.2,47.3,12.7
1,10,2,0.206,0.222,0.187,0.1257,0.0054,0.0094,248,60.0,47.8,13.7
1,10,3,0.206,0.222,0.1906,0.106,0.0052,0.0094,204,70.9,47.7,12.8
1,10,4,0.206,0.222,0.181,0.0975,0.0052,0.0134,186,77.7,49.3,12.9
1,10,5,0.206,0.222,0.1937,0.0941,0.0029,0.0074,164,77.4,47.5,12.0
2,10,1,0.5,0.222,0.4724,0.0924,0.0046,0.0218,86,81.2,48.9,12.2
2,10,2,0.5,0.222,0.4706,0.088,0.0016,0.0093,161,84.2,47.5,11.6
2,10,3,0.5,0.222,0.4678,0.0931,0.0015,0.0138,193,82.1,48.3,11.4
2,10,4,0.5,0.222,0.4634,0.0832,0.0014,0.0186,212,88.9,45.8,9.9
2,10,5,0.5,0.222,0.4445,0.0809,0.0098,0.013,100,96.9,47.8,12.1
3,10,1,0.794,0.222,0.7699,0.1535,0.007,0.0113,124,45.9,48.5,14.4
3,10,2,0.794,0.222,0.7541,0.1247,0.0046,0.0241,173,67.5,47.9,11.3
3,10,3,0.794,0.222,0.7448,0.1384,0.0044,0.0096,160,65.3,48.5,12.1
3,10,4,0.794,0.222,0.7526,0.1456,0.0045,0.0105,134,57.8,51.8,16.6
3,10,5,0.794,0.222,0.7374,0.1302,0.0037,0.0099,134,73.1,50.9,14.4
4,10,1,0.206,0.5,0.1701,0.3556,0.0029,0.0094,131,91.8,48.0,12.7
4,10,2,0.206,0.5,0.175,0.355,0.0036,0.0033,188,90.9,53.2,16.6
4,10,3,0.206,0.5,0.1727,0.3347,0.0051,0.0099,283,103.1,49.6,13.6
4,10,4,0.206,0.5,0.1783,0.3324,0.0031,0.0083,113,103.3,49.5,13.2
4,10,5,0.206,0.5,0.1791,0.3231,0.0057,0.0083,122,108.6,52.5,14.4
5,10,1,0.5,0.5,0.4608,0.3056,0.0037,0.0173,127,121.3,48.9,13.9
5,10,2,0.5,0.5,0.4518,0.3141,0.0044,0.0077,110,118.9,49.5,14.4
5,10,3,0.5,0.5,0.4764,0.3177,0.0077,0.0177,172,111.2,50.6,14.1
5,10,4,0.5,0.5,0.4673,0.3394,0.0031,0.0056,162,100.3,48.8,12.9
5,10,5,0.5,0.5,0.4573,0.3308,0.0056,0.004,174,107.8,50.0,14.4
